,Variable,Model,Season,Type,Correlation
0,Iron,ACCESS-ESM1-5,Summer,Correlation,0.066764354869853
1,Iron,ACCESS-ESM1-5,Winter,Correlation,0.057344930899992
2,NPP,ACCESS-ESM1-5,Summer,Correlation,0.913848337641285
3,NPP,ACCESS-ESM1-5,Winter,Correlation,0.48574109798576
4,MLD,ACCESS-ESM1-5,Summer,Correlation,-0.145343506542198
5,MLD,ACCESS-ESM1-5,Winter,Correlation,-0.015152311281837
6,Nitrate,ACCESS-ESM1-5,Summer,Correlation,-0.1254914150652
7,Nitrate,ACCESS-ESM1-5,Winter,Correlation,-0.16574475194612
8,PAR,ACCESS-ESM1-5,Summer,Correlation,0.13158968380619
9,PAR,ACCESS-ESM1-5,Winter,Correlation,0.046131822459032
10,Sea ice fraction,ACCESS-ESM1-5,Summer,Correlation,0.210444783333553
11,Sea ice fraction,ACCESS-ESM1-5,Winter,Correlation,0.141303844291068
12,SST,ACCESS-ESM1-5,Summer,Correlation,-0.138718372006307
13,SST,ACCESS-ESM1-5,Winter,Correlation,-0.103842283596243
14,Iron,CMCC-ESM2,Summer,Correlation,-0.360676235010932
15,Iron,CMCC-ESM2,Winter,Correlation,0.767070833191951
16,NPP,CMCC-ESM2,Summer,Correlation,0.166741333841898
17,NPP,CMCC-ESM2,Winter,Correlation,-0.018098265210004
18,Diatom,CMCC-ESM2,Summer,Correlation,0.146190308183885
19,Diatom,CMCC-ESM2,Winter,Correlation,0.005822102512769
20,MLD,CMCC-ESM2,Summer,Correlation,0.709687525747994
21,MLD,CMCC-ESM2,Winter,Correlation,-0.126063203756098
22,Nitrate,CMCC-ESM2,Summer,Correlation,0.165539185288583
23,Nitrate,CMCC-ESM2,Winter,Correlation,0.002938241637552
24,PAR,CMCC-ESM2,Summer,Correlation,0.403987961236606
25,PAR,CMCC-ESM2,Winter,Correlation,-0.091896426651104
26,Sea ice fraction,CMCC-ESM2,Summer,Correlation,-0.067179372618193
27,Sea ice fraction,CMCC-ESM2,Winter,Correlation,0.366309052496862
28,SST,CMCC-ESM2,Summer,Correlation,0.426725403214053
29,SST,CMCC-ESM2,Winter,Correlation,-0.419752710827233
30,NPP,EC-Earth3-CC,Summer,Correlation,0.706168974640629
31,NPP,EC-Earth3-CC,Winter,Correlation,-0.180380242791295
32,Diatom,EC-Earth3-CC,Summer,Correlation,0.876605676450876
33,Diatom,EC-Earth3-CC,Winter,Correlation,-0.177414285932368
34,MLD,EC-Earth3-CC,Summer,Correlation,0.21923933647912
35,MLD,EC-Earth3-CC,Winter,Correlation,-0.076068118342
36,Nitrate,EC-Earth3-CC,Summer,Correlation,-0.135341248146931
37,Nitrate,EC-Earth3-CC,Winter,Correlation,-0.026323870780282
38,PAR,EC-Earth3-CC,Summer,Correlation,0.681330170159304
39,PAR,EC-Earth3-CC,Winter,Correlation,-0.259261396047938
40,SST,EC-Earth3-CC,Summer,Correlation,0.580970654237206
41,SST,EC-Earth3-CC,Winter,Correlation,0.059887837726721
42,Iron,IPSL-CM6A-LR,Summer,Correlation,0.281968886270537
43,Iron,IPSL-CM6A-LR,Winter,Correlation,-0.067013759541254
44,NPP,IPSL-CM6A-LR,Summer,Correlation,0.967048715610076
45,NPP,IPSL-CM6A-LR,Winter,Correlation,-0.111675837577168
46,Diatom,IPSL-CM6A-LR,Summer,Correlation,0.968830774121077
47,Diatom,IPSL-CM6A-LR,Winter,Correlation,-0.120367187687601
48,MLD,IPSL-CM6A-LR,Summer,Correlation,-0.639551386770257
49,MLD,IPSL-CM6A-LR,Winter,Correlation,-0.441337238400589
50,Nitrate,IPSL-CM6A-LR,Summer,Correlation,-0.62163121293182
51,Nitrate,IPSL-CM6A-LR,Winter,Correlation,-0.55570668577789
52,PAR,IPSL-CM6A-LR,Summer,Correlation,0.850575705783847
53,PAR,IPSL-CM6A-LR,Winter,Correlation,-0.171380288724555
54,Sea ice fraction,IPSL-CM6A-LR,Summer,Correlation,0.389970000668551
55,Sea ice fraction,IPSL-CM6A-LR,Winter,Correlation,0.536636557954436
56,SST,IPSL-CM6A-LR,Summer,Correlation,-0.035869931493644
57,SST,IPSL-CM6A-LR,Winter,Correlation,-0.453747948054235
58,Iron,MPI-ESM1-2-HR,Summer,Correlation,-0.67406643436327
59,Iron,MPI-ESM1-2-HR,Winter,Correlation,0.027877460479897
60,NPP,MPI-ESM1-2-HR,Summer,Correlation,0.681631429856707
61,NPP,MPI-ESM1-2-HR,Winter,Correlation,0.256939681302065
62,MLD,MPI-ESM1-2-HR,Summer,Correlation,0.611169631018737
63,MLD,MPI-ESM1-2-HR,Winter,Correlation,0.183053076186425
64,Nitrate,MPI-ESM1-2-HR,Summer,Correlation,-0.686264245562598
65,Nitrate,MPI-ESM1-2-HR,Winter,Correlation,0.006825738073791
66,PAR,MPI-ESM1-2-HR,Summer,Correlation,0.727921558550167
67,PAR,MPI-ESM1-2-HR,Winter,Correlation,0.13995965552537
68,SST,MPI-ESM1-2-HR,Summer,Correlation,0.594887204007057
69,SST,MPI-ESM1-2-HR,Winter,Correlation,-0.095135077761001
70,Sea ice fraction,MPI-ESM1-2-HR,Summer,Correlation,-0.0229350018204104
71,Sea ice fraction,MPI-ESM1-2-HR,Winter,Correlation,-0.0069003458256519
72,Sea ice fraction,EC-Earth3-CC,Summer,Correlation,-0.0041780988376584
73,Sea ice fraction,EC-Earth3-CC,Winter,Correlation,-0.0749768892971894
74,Export,EC-Earth3-CC,Summer,Correlation,
75,Export,EC-Earth3-CC,Winter,Correlation,
76,Export,MPI-ESM1-2-HR,Summer,Correlation,
77,Export,MPI-ESM1-2-HR,Winter,Correlation,
78,Export,ACCESS-ESM1-5,Summer,Correlation,
79,Export,ACCESS-ESM1-5,Winter,Correlation,
80,Export,CMCC-ESM2,Summer,Correlation,
81,Export,CMCC-ESM2,Winter,Correlation,
82,Export,IPSL-CM6A-LR,Summer,Correlation,
83,Export,IPSL-CM6A-LR,Winter,Correlation,
84,Iron,ACCESS-ESM1-5,Summer,Kendall,0.000544001498014
85,Iron,ACCESS-ESM1-5,Winter,Kendall,0.10627725030806
86,NPP,ACCESS-ESM1-5,Summer,Kendall,0.851530038372022
87,NPP,ACCESS-ESM1-5,Winter,Kendall,0.397760275634467
88,MLD,ACCESS-ESM1-5,Summer,Kendall,-0.334398194752519
89,MLD,ACCESS-ESM1-5,Winter,Kendall,-0.353101914688221
90,Nitrate,ACCESS-ESM1-5,Summer,Kendall,-0.415281662968078
91,Nitrate,ACCESS-ESM1-5,Winter,Kendall,-0.411459148971162
92,PAR,ACCESS-ESM1-5,Summer,Kendall,0.626445624895499
93,PAR,ACCESS-ESM1-5,Winter,Kendall,-0.094935451609088
94,Sea ice fraction,ACCESS-ESM1-5,Summer,Kendall,0.412235688628048
95,Sea ice fraction,ACCESS-ESM1-5,Winter,Kendall,0.455725379469864
96,SST,ACCESS-ESM1-5,Summer,Kendall,0.280058565614117
97,SST,ACCESS-ESM1-5,Winter,Kendall,-0.435681674079523
98,Iron,CMCC-ESM2,Summer,Kendall,-0.268821549207042
99,Iron,CMCC-ESM2,Winter,Kendall,0.559551157544239
100,NPP,CMCC-ESM2,Summer,Kendall,0.048216838333275
101,NPP,CMCC-ESM2,Winter,Kendall,-0.11632411811147
102,Diatom,CMCC-ESM2,Summer,Kendall,0.032011544697457
103,Diatom,CMCC-ESM2,Winter,Kendall,-0.072820680255565
104,MLD,CMCC-ESM2,Summer,Kendall,0.504644162692115
105,MLD,CMCC-ESM2,Winter,Kendall,-0.121605140118426
106,Nitrate,CMCC-ESM2,Summer,Kendall,0.047099163806927
107,Nitrate,CMCC-ESM2,Winter,Kendall,-0.029699012539886
108,PAR,CMCC-ESM2,Summer,Kendall,0.398952264026228
109,PAR,CMCC-ESM2,Winter,Kendall,-0.036831836866105
110,Sea ice fraction,CMCC-ESM2,Summer,Kendall,0.166437621026402
111,Sea ice fraction,CMCC-ESM2,Winter,Kendall,0.265253081474602
112,SST,CMCC-ESM2,Summer,Kendall,0.05297060695629
113,SST,CMCC-ESM2,Winter,Kendall,-0.296488633130025
114,NPP,EC-Earth3-CC,Summer,Kendall,0.500016429724932
115,NPP,EC-Earth3-CC,Winter,Kendall,-0.154314479995783
116,Diatom,EC-Earth3-CC,Summer,Kendall,0.697897979100877
117,Diatom,EC-Earth3-CC,Winter,Kendall,-0.14898234968342
118,MLD,EC-Earth3-CC,Summer,Kendall,0.141953507985873
119,MLD,EC-Earth3-CC,Winter,Kendall,0.019360377116953
120,Nitrate,EC-Earth3-CC,Summer,Kendall,-0.073237552600791
121,Nitrate,EC-Earth3-CC,Winter,Kendall,-0.071574220219089
122,PAR,EC-Earth3-CC,Summer,Kendall,0.400691896791206
123,PAR,EC-Earth3-CC,Winter,Kendall,-0.223362795024805
124,SST,EC-Earth3-CC,Summer,Kendall,0.321756310212375
125,SST,EC-Earth3-CC,Winter,Kendall,-0.030819941751486
126,Iron,IPSL-CM6A-LR,Summer,Kendall,0.341329221386625
127,Iron,IPSL-CM6A-LR,Winter,Kendall,-0.073960811040739
128,NPP,IPSL-CM6A-LR,Summer,Kendall,0.704856711065896
129,NPP,IPSL-CM6A-LR,Winter,Kendall,-0.101491468632465
130,Diatom,IPSL-CM6A-LR,Summer,Kendall,0.8083509082531
131,Diatom,IPSL-CM6A-LR,Winter,Kendall,-0.098747460263305
132,MLD,IPSL-CM6A-LR,Summer,Kendall,-0.588326090653161
133,MLD,IPSL-CM6A-LR,Winter,Kendall,-0.326881438737938
134,Nitrate,IPSL-CM6A-LR,Summer,Kendall,-0.569696325971318
135,Nitrate,IPSL-CM6A-LR,Winter,Kendall,-0.405926428959687
136,PAR,IPSL-CM6A-LR,Summer,Kendall,0.452802567342431
137,PAR,IPSL-CM6A-LR,Winter,Kendall,-0.129060397359821
138,Sea ice fraction,IPSL-CM6A-LR,Summer,Kendall,0.410568084546058
139,Sea ice fraction,IPSL-CM6A-LR,Winter,Kendall,0.429702946766782
140,SST,IPSL-CM6A-LR,Summer,Kendall,0.006557283812969
141,SST,IPSL-CM6A-LR,Winter,Kendall,-0.437987938757605
142,Iron,MPI-ESM1-2-HR,Summer,Kendall,-0.472374812195451
143,Iron,MPI-ESM1-2-HR,Winter,Kendall,-0.012003397378533
144,NPP,MPI-ESM1-2-HR,Summer,Kendall,0.442904269832637
145,NPP,MPI-ESM1-2-HR,Winter,Kendall,0.247720139081416
146,MLD,MPI-ESM1-2-HR,Summer,Kendall,0.391200527644067
147,MLD,MPI-ESM1-2-HR,Winter,Kendall,0.064926689397754
148,Nitrate,MPI-ESM1-2-HR,Summer,Kendall,-0.471779847200152
149,Nitrate,MPI-ESM1-2-HR,Winter,Kendall,-0.038572222693772
150,PAR,MPI-ESM1-2-HR,Summer,Kendall,0.540845438409806
151,PAR,MPI-ESM1-2-HR,Winter,Kendall,0.162725066376051
152,SST,MPI-ESM1-2-HR,Summer,Kendall,0.362945114645698
153,SST,MPI-ESM1-2-HR,Winter,Kendall,-0.02455916346946
154,Sea ice fraction,MPI-ESM1-2-HR,Summer,Kendall,0.0839247504308892
155,Sea ice fraction,MPI-ESM1-2-HR,Winter,Kendall,0.0922491098685016
156,Sea ice fraction,EC-Earth3-CC,Summer,Kendall,0.2579434458642076
157,Sea ice fraction,EC-Earth3-CC,Winter,Kendall,-0.0860248129327721
158,Export,EC-Earth3-CC,Summer,Kendall,
159,Export,EC-Earth3-CC,Winter,Kendall,
160,Export,MPI-ESM1-2-HR,Summer,Kendall,
161,Export,MPI-ESM1-2-HR,Winter,Kendall,
162,Export,ACCESS-ESM1-5,Summer,Kendall,
163,Export,ACCESS-ESM1-5,Winter,Kendall,
164,Export,CMCC-ESM2,Summer,Kendall,
165,Export,CMCC-ESM2,Winter,Kendall,
166,Export,IPSL-CM6A-LR,Summer,Kendall,
167,Export,IPSL-CM6A-LR,Winter,Kendall,
168,Iron,ACCESS-ESM1-5,Summer,Correlation_ice,0.3094307893104233
169,Iron,ACCESS-ESM1-5,Winter,Correlation_ice,0.2861782234051455
170,NPP,ACCESS-ESM1-5,Summer,Correlation_ice,0.3404564641800159
171,NPP,ACCESS-ESM1-5,Winter,Correlation_ice,0.3565684932682677
172,MLD,ACCESS-ESM1-5,Summer,Correlation_ice,-0.6315203432278893
173,MLD,ACCESS-ESM1-5,Winter,Correlation_ice,-0.1897321958470239
174,Nitrate,ACCESS-ESM1-5,Summer,Correlation_ice,-0.4232687281015737
175,Nitrate,ACCESS-ESM1-5,Winter,Correlation_ice,-0.4726422243066003
176,PAR,ACCESS-ESM1-5,Summer,Correlation_ice,0.5320823407332231
177,PAR,ACCESS-ESM1-5,Winter,Correlation_ice,-0.0731595069127058
178,Sea ice fraction,ACCESS-ESM1-5,Summer,Correlation_ice,
179,Sea ice fraction,ACCESS-ESM1-5,Winter,Correlation_ice,
180,SST,ACCESS-ESM1-5,Summer,Correlation_ice,-0.2551723711561348
181,SST,ACCESS-ESM1-5,Winter,Correlation_ice,-0.9036806642436896
182,Iron,CMCC-ESM2,Summer,Correlation_ice,-0.1442520591309426
183,Iron,CMCC-ESM2,Winter,Correlation_ice,0.1071675037345754
184,NPP,CMCC-ESM2,Summer,Correlation_ice,0.2698109939273448
185,NPP,CMCC-ESM2,Winter,Correlation_ice,-0.0104971058542114
186,Diatom,CMCC-ESM2,Summer,Correlation_ice,0.3203059744893546
187,Diatom,CMCC-ESM2,Winter,Correlation_ice,0.0055737522040616
188,MLD,CMCC-ESM2,Summer,Correlation_ice,-0.2159583352635286
189,MLD,CMCC-ESM2,Winter,Correlation_ice,-0.4433807784790033
190,Nitrate,CMCC-ESM2,Summer,Correlation_ice,-0.4129878790446664
191,Nitrate,CMCC-ESM2,Winter,Correlation_ice,-0.2767385772104627
192,PAR,CMCC-ESM2,Summer,Correlation_ice,0.0918937722366868
193,PAR,CMCC-ESM2,Winter,Correlation_ice,-0.1697694762085944
194,Sea ice fraction,CMCC-ESM2,Summer,Correlation_ice,
195,Sea ice fraction,CMCC-ESM2,Winter,Correlation_ice,
196,SST,CMCC-ESM2,Summer,Correlation_ice,-0.5747493557766321
197,SST,CMCC-ESM2,Winter,Correlation_ice,-0.9154510899454418
198,NPP,EC-Earth3-CC,Summer,Correlation_ice,-0.0377079795345313
199,NPP,EC-Earth3-CC,Winter,Correlation_ice,0.005145266061375
200,Diatom,EC-Earth3-CC,Summer,Correlation_ice,0.0004889725844417
201,Diatom,EC-Earth3-CC,Winter,Correlation_ice,-0.0279236169653893
202,MLD,EC-Earth3-CC,Summer,Correlation_ice,-0.0356628835071434
203,MLD,EC-Earth3-CC,Winter,Correlation_ice,-0.0901535759417807
204,Nitrate,EC-Earth3-CC,Summer,Correlation_ice,-0.0270183845547684
205,Nitrate,EC-Earth3-CC,Winter,Correlation_ice,-0.4526461455206893
206,PAR,EC-Earth3-CC,Summer,Correlation_ice,-0.0111840759359016
207,PAR,EC-Earth3-CC,Winter,Correlation_ice,0.0562164588698655
208,SST,EC-Earth3-CC,Summer,Correlation_ice,0.0026065946000228
209,SST,EC-Earth3-CC,Winter,Correlation_ice,-0.6891070415940327
210,Iron,IPSL-CM6A-LR,Summer,Correlation_ice,0.5504031544205867
211,Iron,IPSL-CM6A-LR,Winter,Correlation_ice,0.2440215865727455
212,NPP,IPSL-CM6A-LR,Summer,Correlation_ice,0.3885389404543453
213,NPP,IPSL-CM6A-LR,Winter,Correlation_ice,-0.2789768417526753
214,Diatom,IPSL-CM6A-LR,Summer,Correlation_ice,0.4585692261853658
215,Diatom,IPSL-CM6A-LR,Winter,Correlation_ice,-0.2788138133628371
216,MLD,IPSL-CM6A-LR,Summer,Correlation_ice,-0.5129747171452955
217,MLD,IPSL-CM6A-LR,Winter,Correlation_ice,-0.5326788824859523
218,Nitrate,IPSL-CM6A-LR,Summer,Correlation_ice,-0.4212557870931488
219,Nitrate,IPSL-CM6A-LR,Winter,Correlation_ice,-0.6539655217010142
220,PAR,IPSL-CM6A-LR,Summer,Correlation_ice,0.3776291652160106
221,PAR,IPSL-CM6A-LR,Winter,Correlation_ice,-0.3006723823346806
222,Sea ice fraction,IPSL-CM6A-LR,Summer,Correlation_ice,
223,Sea ice fraction,IPSL-CM6A-LR,Winter,Correlation_ice,
224,SST,IPSL-CM6A-LR,Summer,Correlation_ice,-0.5010159210953605
225,SST,IPSL-CM6A-LR,Winter,Correlation_ice,-0.9079892656946108
226,Iron,MPI-ESM1-2-HR,Summer,Correlation_ice,-0.3474637392008225
227,Iron,MPI-ESM1-2-HR,Winter,Correlation_ice,-0.000216667390515
228,NPP,MPI-ESM1-2-HR,Summer,Correlation_ice,0.255449282235707
229,NPP,MPI-ESM1-2-HR,Winter,Correlation_ice,-0.0085219503547181
230,MLD,MPI-ESM1-2-HR,Summer,Correlation_ice,-0.189815397703109
231,MLD,MPI-ESM1-2-HR,Winter,Correlation_ice,-0.0147761636360698
232,Nitrate,MPI-ESM1-2-HR,Summer,Correlation_ice,-0.3453167312053407
233,Nitrate,MPI-ESM1-2-HR,Winter,Correlation_ice,-0.0027234228081274
234,PAR,MPI-ESM1-2-HR,Summer,Correlation_ice,0.2219547510259315
235,PAR,MPI-ESM1-2-HR,Winter,Correlation_ice,-0.0087412556610216
236,SST,MPI-ESM1-2-HR,Summer,Correlation_ice,-0.2396471619906393
237,SST,MPI-ESM1-2-HR,Winter,Correlation_ice,-0.0263885672849799
238,Sea ice fraction,MPI-ESM1-2-HR,Summer,Correlation_ice,
239,Sea ice fraction,MPI-ESM1-2-HR,Winter,Correlation_ice,
240,Sea ice fraction,EC-Earth3-CC,Summer,Correlation_ice,
241,Sea ice fraction,EC-Earth3-CC,Winter,Correlation_ice,
242,Export,EC-Earth3-CC,Summer,Correlation_ice,-0.0041780988376584
243,Export,EC-Earth3-CC,Winter,Correlation_ice,-0.0749768892971894
244,Export,MPI-ESM1-2-HR,Summer,Correlation_ice,-0.0229350018204104
245,Export,MPI-ESM1-2-HR,Winter,Correlation_ice,-0.0069003458256519
246,Export,ACCESS-ESM1-5,Summer,Correlation_ice,0.2104447531461101
247,Export,ACCESS-ESM1-5,Winter,Correlation_ice,0.1413038442910677
248,Export,CMCC-ESM2,Summer,Correlation_ice,-0.0671793858265792
249,Export,CMCC-ESM2,Winter,Correlation_ice,0.3663090524968624
250,Export,IPSL-CM6A-LR,Summer,Correlation_ice,0.3899700565241988
251,Export,IPSL-CM6A-LR,Winter,Correlation_ice,0.5366364997756714
252,Iron,ACCESS-ESM1-5,Summer,Correlation_ice_k,0.2053640962268579
253,Iron,ACCESS-ESM1-5,Winter,Correlation_ice_k,0.2600493641552131
254,NPP,ACCESS-ESM1-5,Summer,Correlation_ice_k,0.418735241864315
255,NPP,ACCESS-ESM1-5,Winter,Correlation_ice_k,0.4020196590976019
256,MLD,ACCESS-ESM1-5,Summer,Correlation_ice_k,-0.4226719378208591
257,MLD,ACCESS-ESM1-5,Winter,Correlation_ice_k,-0.2029345240955078
258,Nitrate,ACCESS-ESM1-5,Summer,Correlation_ice_k,-0.2962212801087406
259,Nitrate,ACCESS-ESM1-5,Winter,Correlation_ice_k,-0.2971363260475614
260,PAR,ACCESS-ESM1-5,Summer,Correlation_ice_k,0.4604041613912424
261,PAR,ACCESS-ESM1-5,Winter,Correlation_ice_k,0.0560376047727671
262,Sea ice fraction,ACCESS-ESM1-5,Summer,Correlation_ice_k,
