,Variable,Model,Zone,Type,Correlation
263,Sea ice fraction,ACCESS-ESM1-5,Dec,Correlation_ice_k,
264,SST,ACCESS-ESM1-5,Inc,Correlation_ice_k,-0.5929584310809214
265,SST,ACCESS-ESM1-5,Dec,Correlation_ice_k,-0.6775674125071716
266,Iron,CMCC-ESM2,Inc,Correlation_ice_k,0.0377581325522215
267,Iron,CMCC-ESM2,Dec,Correlation_ice_k,-0.3383388155881827
268,NPP,CMCC-ESM2,Inc,Correlation_ice_k,0.1394950948119681
269,NPP,CMCC-ESM2,Dec,Correlation_ice_k,0.2496512640840961
270,Diatom,CMCC-ESM2,Inc,Correlation_ice_k,0.1755698549670306
271,Diatom,CMCC-ESM2,Dec,Correlation_ice_k,0.3022595797628196
272,MLD,CMCC-ESM2,Inc,Correlation_ice_k,-0.3796645117712203
273,MLD,CMCC-ESM2,Dec,Correlation_ice_k,-0.3059707958117422
274,Nitrate,CMCC-ESM2,Inc,Correlation_ice_k,-0.2669829609378353
275,Nitrate,CMCC-ESM2,Dec,Correlation_ice_k,-0.3479642109071864
276,PAR,CMCC-ESM2,Inc,Correlation_ice_k,0.0739947813823986
277,PAR,CMCC-ESM2,Dec,Correlation_ice_k,0.3804579184192739
278,Sea ice fraction,CMCC-ESM2,Inc,Correlation_ice_k,
279,Sea ice fraction,CMCC-ESM2,Dec,Correlation_ice_k,
280,SST,CMCC-ESM2,Inc,Correlation_ice_k,-0.7332636701078983
281,SST,CMCC-ESM2,Dec,Correlation_ice_k,-0.6808630327734109
282,NPP,EC-Earth3-CC,Inc,Correlation_ice_k,0.2157136300670641
283,NPP,EC-Earth3-CC,Dec,Correlation_ice_k,0.2203073579928391
284,Diatom,EC-Earth3-CC,Inc,Correlation_ice_k,0.1179876577245667
285,Diatom,EC-Earth3-CC,Dec,Correlation_ice_k,-0.0062900754617847
286,MLD,EC-Earth3-CC,Inc,Correlation_ice_k,-0.13241869785155
287,MLD,EC-Earth3-CC,Dec,Correlation_ice_k,-0.2592813638705623
288,Nitrate,EC-Earth3-CC,Inc,Correlation_ice_k,-0.3765072113992448
289,Nitrate,EC-Earth3-CC,Dec,Correlation_ice_k,-0.3948906656910122
290,PAR,EC-Earth3-CC,Inc,Correlation_ice_k,0.3816194478529708
291,PAR,EC-Earth3-CC,Dec,Correlation_ice_k,0.5154401657659956
292,Sea ice fraction,EC-Earth3-CC,Inc,Correlation_ice_k,
293,Sea ice fraction,EC-Earth3-CC,Dec,Correlation_ice_k,
294,SST,EC-Earth3-CC,Inc,Correlation_ice_k,-0.2644586477708289
295,SST,EC-Earth3-CC,Dec,Correlation_ice_k,-0.2777658435639774
296,Iron,IPSL-CM6A-LR,Inc,Correlation_ice_k,0.2344219428269774
297,Iron,IPSL-CM6A-LR,Dec,Correlation_ice_k,0.0405932223967599
298,NPP,IPSL-CM6A-LR,Inc,Correlation_ice_k,0.1855230725154675
299,NPP,IPSL-CM6A-LR,Dec,Correlation_ice_k,-0.0467073036112782
300,Diatom,IPSL-CM6A-LR,Inc,Correlation_ice_k,0.3350193725592721
301,Diatom,IPSL-CM6A-LR,Dec,Correlation_ice_k,0.1015291703305946
302,MLD,IPSL-CM6A-LR,Inc,Correlation_ice_k,-0.4048790273914896
303,MLD,IPSL-CM6A-LR,Dec,Correlation_ice_k,-0.3492910904717926
304,Nitrate,IPSL-CM6A-LR,Inc,Correlation_ice_k,-0.5125270485835566
305,Nitrate,IPSL-CM6A-LR,Dec,Correlation_ice_k,-0.2278188518856425
306,PAR,IPSL-CM6A-LR,Inc,Correlation_ice_k,0.2637991926938375
307,PAR,IPSL-CM6A-LR,Dec,Correlation_ice_k,0.2855119568578099
308,Sea ice fraction,IPSL-CM6A-LR,Inc,Correlation_ice_k,
309,Sea ice fraction,IPSL-CM6A-LR,Dec,Correlation_ice_k,
310,SST,IPSL-CM6A-LR,Inc,Correlation_ice_k,-0.7332313690565528
311,SST,IPSL-CM6A-LR,Dec,Correlation_ice_k,-0.6775641357545865
312,Iron,MPI-ESM1-2-HR,Inc,Correlation_ice_k,-0.2531247102423765
313,Iron,MPI-ESM1-2-HR,Dec,Correlation_ice_k,-0.3861528472432037
314,NPP,MPI-ESM1-2-HR,Inc,Correlation_ice_k,0.1573031081644665
315,NPP,MPI-ESM1-2-HR,Dec,Correlation_ice_k,0.0128846618058236
316,MLD,MPI-ESM1-2-HR,Inc,Correlation_ice_k,-0.4271411501120514
317,MLD,MPI-ESM1-2-HR,Dec,Correlation_ice_k,-0.5687438613905096
318,Nitrate,MPI-ESM1-2-HR,Inc,Correlation_ice_k,-0.2586129974940836
319,Nitrate,MPI-ESM1-2-HR,Dec,Correlation_ice_k,-0.3556774812156837
320,PAR,MPI-ESM1-2-HR,Inc,Correlation_ice_k,0.3451891969542488
321,PAR,MPI-ESM1-2-HR,Dec,Correlation_ice_k,0.0103014381989743
322,Sea ice fraction,MPI-ESM1-2-HR,Inc,Correlation_ice_k,
323,Sea ice fraction,MPI-ESM1-2-HR,Dec,Correlation_ice_k,
324,SST,MPI-ESM1-2-HR,Inc,Correlation_ice_k,-0.5796155825475279
325,SST,MPI-ESM1-2-HR,Dec,Correlation_ice_k,-0.6797872073804344
326,Export,EC-Earth3-CC,Inc,Correlation_ice_k,0.2232226935117565
327,Export,EC-Earth3-CC,Dec,Correlation_ice_k,0.0395847071091283
328,Export,MPI-ESM1-2-HR,Inc,Correlation_ice_k,0.1262958881407702
329,Export,MPI-ESM1-2-HR,Dec,Correlation_ice_k,0.0110329839425545
330,Export,ACCESS-ESM1-5,Inc,Correlation_ice_k,0.4869408852421175
331,Export,ACCESS-ESM1-5,Dec,Correlation_ice_k,-0.4520940906483075
332,Export,CMCC-ESM2,Inc,Correlation_ice_k,0.1588928864911349
333,Export,CMCC-ESM2,Dec,Correlation_ice_k,0.3992877147790922
334,Export,IPSL-CM6A-LR,Inc,Correlation_ice_k,0.3439509379692889
335,Export,IPSL-CM6A-LR,Dec,Correlation_ice_k,-0.0399567509111719
336,Iron,ACCESS-ESM1-5,Inc,Correlation_npp,0.1026376809920142
337,Iron,ACCESS-ESM1-5,Dec,Correlation_npp,0.6630606569655147
338,NPP,ACCESS-ESM1-5,Inc,Correlation_npp,
339,NPP,ACCESS-ESM1-5,Dec,Correlation_npp,
340,MLD,ACCESS-ESM1-5,Inc,Correlation_npp,-0.0251804251261605
341,MLD,ACCESS-ESM1-5,Dec,Correlation_npp,-0.56216267768998
342,Nitrate,ACCESS-ESM1-5,Inc,Correlation_npp,-0.2826802311078154
343,Nitrate,ACCESS-ESM1-5,Dec,Correlation_npp,0.1093879804171838
344,PAR,ACCESS-ESM1-5,Inc,Correlation_npp,0.3646186875759097
345,PAR,ACCESS-ESM1-5,Dec,Correlation_npp,0.4223512900941846
346,Sea ice fraction,ACCESS-ESM1-5,Inc,Correlation_npp,0.2731902028641144
347,Sea ice fraction,ACCESS-ESM1-5,Dec,Correlation_npp,-0.3608235380357454
348,SST,ACCESS-ESM1-5,Inc,Correlation_npp,-0.2849460337259363
349,SST,ACCESS-ESM1-5,Dec,Correlation_npp,0.4945011529712271
350,Iron,CMCC-ESM2,Inc,Correlation_npp,0.1323082484685672
351,Iron,CMCC-ESM2,Dec,Correlation_npp,0.2138646472485568
352,NPP,CMCC-ESM2,Inc,Correlation_npp,
353,NPP,CMCC-ESM2,Dec,Correlation_npp,
354,Diatom,CMCC-ESM2,Inc,Correlation_npp,0.9981528844320792
355,Diatom,CMCC-ESM2,Dec,Correlation_npp,0.9916952339765212
356,MLD,CMCC-ESM2,Inc,Correlation_npp,-0.0427104861617188
357,MLD,CMCC-ESM2,Dec,Correlation_npp,-0.0991210645464935
358,Nitrate,CMCC-ESM2,Inc,Correlation_npp,0.0859365106437611
359,Nitrate,CMCC-ESM2,Dec,Correlation_npp,0.034747286036345
360,PAR,CMCC-ESM2,Inc,Correlation_npp,0.9572949875593314
361,PAR,CMCC-ESM2,Dec,Correlation_npp,0.4759166173742807
362,Sea ice fraction,CMCC-ESM2,Inc,Correlation_npp,0.0600819419067357
363,Sea ice fraction,CMCC-ESM2,Dec,Correlation_npp,0.3086263395621562
364,SST,CMCC-ESM2,Inc,Correlation_npp,-0.0306976643227965
365,SST,CMCC-ESM2,Dec,Correlation_npp,-0.3017249533137424
366,NPP,EC-Earth3-CC,Inc,Correlation_npp,
367,NPP,EC-Earth3-CC,Dec,Correlation_npp,
368,Diatom,EC-Earth3-CC,Inc,Correlation_npp,0.9253476721325328
369,Diatom,EC-Earth3-CC,Dec,Correlation_npp,0.602303882945913
370,MLD,EC-Earth3-CC,Inc,Correlation_npp,0.4687386531847819
371,MLD,EC-Earth3-CC,Dec,Correlation_npp,0.1854267690369437
372,Nitrate,EC-Earth3-CC,Inc,Correlation_npp,0.1964328267969972
373,Nitrate,EC-Earth3-CC,Dec,Correlation_npp,-0.2790951965293528
374,PAR,EC-Earth3-CC,Inc,Correlation_npp,0.869831781027272
375,PAR,EC-Earth3-CC,Dec,Correlation_npp,0.6229568508266358
376,Sea ice fraction,EC-Earth3-CC,Inc,Correlation_npp,0.1034111850529706
377,Sea ice fraction,EC-Earth3-CC,Dec,Correlation_npp,0.2925910232284314
378,SST,EC-Earth3-CC,Inc,Correlation_npp,0.4463996632012282
379,SST,EC-Earth3-CC,Dec,Correlation_npp,0.1290609653968238
380,Iron,IPSL-CM6A-LR,Inc,Correlation_npp,-0.0371574615881449
381,Iron,IPSL-CM6A-LR,Dec,Correlation_npp,-0.2773281980572489
382,NPP,IPSL-CM6A-LR,Inc,Correlation_npp,
383,NPP,IPSL-CM6A-LR,Dec,Correlation_npp,
384,Diatom,IPSL-CM6A-LR,Inc,Correlation_npp,0.9740336169417786
385,Diatom,IPSL-CM6A-LR,Dec,Correlation_npp,0.3373052149279294
386,MLD,IPSL-CM6A-LR,Inc,Correlation_npp,-0.2623612123441713
387,MLD,IPSL-CM6A-LR,Dec,Correlation_npp,0.2440745903489814
388,Nitrate,IPSL-CM6A-LR,Inc,Correlation_npp,-0.562105014149472
389,Nitrate,IPSL-CM6A-LR,Dec,Correlation_npp,0.0156504326723331
390,PAR,IPSL-CM6A-LR,Inc,Correlation_npp,0.8593615265056064
391,PAR,IPSL-CM6A-LR,Dec,Correlation_npp,0.6051671301984558
392,Sea ice fraction,IPSL-CM6A-LR,Inc,Correlation_npp,0.2986718619636689
393,Sea ice fraction,IPSL-CM6A-LR,Dec,Correlation_npp,-0.1537281837511119
394,SST,IPSL-CM6A-LR,Inc,Correlation_npp,-0.2572614148670333
395,SST,IPSL-CM6A-LR,Dec,Correlation_npp,0.2708498064019585
396,Iron,MPI-ESM1-2-HR,Inc,Correlation_npp,-0.6433025141906001
397,Iron,MPI-ESM1-2-HR,Dec,Correlation_npp,-0.5476811879605847
398,NPP,MPI-ESM1-2-HR,Inc,Correlation_npp,
399,NPP,MPI-ESM1-2-HR,Dec,Correlation_npp,
400,MLD,MPI-ESM1-2-HR,Inc,Correlation_npp,-0.0022017226307297
401,MLD,MPI-ESM1-2-HR,Dec,Correlation_npp,-0.0655597262765159
402,Nitrate,MPI-ESM1-2-HR,Inc,Correlation_npp,-0.6142729511697017
403,Nitrate,MPI-ESM1-2-HR,Dec,Correlation_npp,-0.5391480615622706
404,PAR,MPI-ESM1-2-HR,Inc,Correlation_npp,0.8302241422136483
405,PAR,MPI-ESM1-2-HR,Dec,Correlation_npp,0.3959852992402137
406,Sea ice fraction,MPI-ESM1-2-HR,Inc,Correlation_npp,0.283342263416168
407,Sea ice fraction,MPI-ESM1-2-HR,Dec,Correlation_npp,0.1342899603626782
408,SST,MPI-ESM1-2-HR,Inc,Correlation_npp,0.0624631175026696
409,SST,MPI-ESM1-2-HR,Dec,Correlation_npp,0.0726772988515
410,Export,EC-Earth3-CC,Inc,Correlation_npp,0.9294047569448036
411,Export,EC-Earth3-CC,Dec,Correlation_npp,0.6710878215664037
412,Export,MPI-ESM1-2-HR,Inc,Correlation_npp,0.8968037073191489
413,Export,MPI-ESM1-2-HR,Dec,Correlation_npp,0.7466073840051028
414,Export,ACCESS-ESM1-5,Inc,Correlation_npp,0.962277274071306
415,Export,ACCESS-ESM1-5,Dec,Correlation_npp,0.9739685807669184
416,Export,CMCC-ESM2,Inc,Correlation_npp,0.4163048244067389
417,Export,CMCC-ESM2,Dec,Correlation_npp,0.5434131092148411
418,Export,IPSL-CM6A-LR,Inc,Correlation_npp,0.9741682553463296
419,Export,IPSL-CM6A-LR,Dec,Correlation_npp,0.5852988840211527
420,Iron,ACCESS-ESM1-5,Inc,Correlation_npp_k,0.0885297253659266
421,Iron,ACCESS-ESM1-5,Dec,Correlation_npp_k,0.5295467584624212
422,NPP,ACCESS-ESM1-5,Inc,Correlation_npp_k,
423,NPP,ACCESS-ESM1-5,Dec,Correlation_npp_k,
424,MLD,ACCESS-ESM1-5,Inc,Correlation_npp_k,-0.230919887778482
425,MLD,ACCESS-ESM1-5,Dec,Correlation_npp_k,-0.3843947217441193
426,Nitrate,ACCESS-ESM1-5,Inc,Correlation_npp_k,-0.3559035112412425
427,Nitrate,ACCESS-ESM1-5,Dec,Correlation_npp_k,0.0045897877223178
428,PAR,ACCESS-ESM1-5,Inc,Correlation_npp_k,0.7168183390620059
429,PAR,ACCESS-ESM1-5,Dec,Correlation_npp_k,0.2088353413654618
430,Sea ice fraction,ACCESS-ESM1-5,Inc,Correlation_npp_k,0.4569786725147191
431,Sea ice fraction,ACCESS-ESM1-5,Dec,Correlation_npp_k,-0.4348823866896156
432,SST,ACCESS-ESM1-5,Inc,Correlation_npp_k,-0.157196816815411
433,SST,ACCESS-ESM1-5,Dec,Correlation_npp_k,0.4394721744119334
434,Iron,CMCC-ESM2,Inc,Correlation_npp_k,0.2647619918303189
435,Iron,CMCC-ESM2,Dec,Correlation_npp_k,0.1533910786051271
436,NPP,CMCC-ESM2,Inc,Correlation_npp_k,
437,NPP,CMCC-ESM2,Dec,Correlation_npp_k,
438,Diatom,CMCC-ESM2,Inc,Correlation_npp_k,0.9172423831913498
439,Diatom,CMCC-ESM2,Dec,Correlation_npp_k,0.9061387905183724
440,MLD,CMCC-ESM2,Inc,Correlation_npp_k,0.0092788074523184
441,MLD,CMCC-ESM2,Dec,Correlation_npp_k,-0.0490132981985081
442,Nitrate,CMCC-ESM2,Inc,Correlation_npp_k,0.1492142518074345
443,Nitrate,CMCC-ESM2,Dec,Correlation_npp_k,0.0851777126838093
444,PAR,CMCC-ESM2,Inc,Correlation_npp_k,0.4069986684242731
445,PAR,CMCC-ESM2,Dec,Correlation_npp_k,0.2765532562841666
446,Sea ice fraction,CMCC-ESM2,Inc,Correlation_npp_k,0.1394950948119681
447,Sea ice fraction,CMCC-ESM2,Dec,Correlation_npp_k,0.2496512640840961
448,SST,CMCC-ESM2,Inc,Correlation_npp_k,-0.0721895289442764
449,SST,CMCC-ESM2,Dec,Correlation_npp_k,-0.131103328293917
450,NPP,EC-Earth3-CC,Inc,Correlation_npp_k,
451,NPP,EC-Earth3-CC,Dec,Correlation_npp_k,
452,Diatom,EC-Earth3-CC,Inc,Correlation_npp_k,0.6989007229432178
453,Diatom,EC-Earth3-CC,Dec,Correlation_npp_k,0.3922621704511094
454,MLD,EC-Earth3-CC,Inc,Correlation_npp_k,0.3652212202022847
455,MLD,EC-Earth3-CC,Dec,Correlation_npp_k,0.0743525239788792
456,Nitrate,EC-Earth3-CC,Inc,Correlation_npp_k,0.070218889234413
457,Nitrate,EC-Earth3-CC,Dec,Correlation_npp_k,-0.2175572911631427
458,PAR,EC-Earth3-CC,Inc,Correlation_npp_k,0.6564084721574731
459,PAR,EC-Earth3-CC,Dec,Correlation_npp_k,0.439654268065666
460,Sea ice fraction,EC-Earth3-CC,Inc,Correlation_npp_k,0.2157136300670641
461,Sea ice fraction,EC-Earth3-CC,Dec,Correlation_npp_k,0.2203073579928391
462,SST,EC-Earth3-CC,Inc,Correlation_npp_k,0.2633727420065699
463,SST,EC-Earth3-CC,Dec,Correlation_npp_k,0.1388358081854215
464,Iron,IPSL-CM6A-LR,Inc,Correlation_npp_k,-0.1049174163084848
465,Iron,IPSL-CM6A-LR,Dec,Correlation_npp_k,-0.1637199477655015
466,NPP,IPSL-CM6A-LR,Inc,Correlation_npp_k,
467,NPP,IPSL-CM6A-LR,Dec,Correlation_npp_k,
468,Diatom,IPSL-CM6A-LR,Inc,Correlation_npp_k,0.4424333124917673
469,Diatom,IPSL-CM6A-LR,Dec,Correlation_npp_k,0.2486049023064911
470,MLD,IPSL-CM6A-LR,Inc,Correlation_npp_k,-0.1485442936568537
471,MLD,IPSL-CM6A-LR,Dec,Correlation_npp_k,0.2204028387839787
472,Nitrate,IPSL-CM6A-LR,Inc,Correlation_npp_k,-0.2994066148460036
473,Nitrate,IPSL-CM6A-LR,Dec,Correlation_npp_k,0.0214246045228962
474,PAR,IPSL-CM6A-LR,Inc,Correlation_npp_k,0.6232777469421461
475,PAR,IPSL-CM6A-LR,Dec,Correlation_npp_k,0.3490764582244546
476,Sea ice fraction,IPSL-CM6A-LR,Inc,Correlation_npp_k,0.1855230725154675
477,Sea ice fraction,IPSL-CM6A-LR,Dec,Correlation_npp_k,-0.0467073036112782
478,SST,IPSL-CM6A-LR,Inc,Correlation_npp_k,-0.0737386601206305
479,SST,IPSL-CM6A-LR,Dec,Correlation_npp_k,0.1923829692974496
480,Iron,MPI-ESM1-2-HR,Inc,Correlation_npp_k,-0.5263439036082096
481,Iron,MPI-ESM1-2-HR,Dec,Correlation_npp_k,-0.3525443771017458
482,NPP,MPI-ESM1-2-HR,Inc,Correlation_npp_k,
483,NPP,MPI-ESM1-2-HR,Dec,Correlation_npp_k,
484,MLD,MPI-ESM1-2-HR,Inc,Correlation_npp_k,-0.0688457922962325
485,MLD,MPI-ESM1-2-HR,Dec,Correlation_npp_k,-0.0679773605724703
486,Nitrate,MPI-ESM1-2-HR,Inc,Correlation_npp_k,-0.5032659157932888
487,Nitrate,MPI-ESM1-2-HR,Dec,Correlation_npp_k,-0.3488861939404596
488,PAR,MPI-ESM1-2-HR,Inc,Correlation_npp_k,0.596319840029588
489,PAR,MPI-ESM1-2-HR,Dec,Correlation_npp_k,0.2024807170857714
490,Sea ice fraction,MPI-ESM1-2-HR,Inc,Correlation_npp_k,0.1573031081644665
491,Sea ice fraction,MPI-ESM1-2-HR,Dec,Correlation_npp_k,0.0128846618058236
492,SST,MPI-ESM1-2-HR,Inc,Correlation_npp_k,0.0815413689345634
493,SST,MPI-ESM1-2-HR,Dec,Correlation_npp_k,0.0729948025330034
494,Export,EC-Earth3-CC,Inc,Correlation_npp_k,0.7172264069357778
495,Export,EC-Earth3-CC,Dec,Correlation_npp_k,0.4347114077369917
496,Export,MPI-ESM1-2-HR,Inc,Correlation_npp_k,0.7098263026969485
497,Export,MPI-ESM1-2-HR,Dec,Correlation_npp_k,0.5876226387851524
498,Export,ACCESS-ESM1-5,Inc,Correlation_npp_k,0.9193237996448952
499,Export,ACCESS-ESM1-5,Dec,Correlation_npp_k,0.8668961560527826
500,Export,CMCC-ESM2,Inc,Correlation_npp_k,0.5662370857565935
501,Export,CMCC-ESM2,Dec,Correlation_npp_k,0.3576038589374879
502,Export,IPSL-CM6A-LR,Inc,Correlation_npp_k,0.5616033290130259
503,Export,IPSL-CM6A-LR,Dec,Correlation_npp_k,0.4159083249073138
