Percentage,Correlation,p-value,Kendall,p_value_k,Variable,Model,Season
-3.42290210723877,0.066764354869853,4.03238684922386e-06,0.000544001498014,0.955125419212673,Iron,ACCESS-ESM1-5,Summer
-2.19517612457275,0.057344930899992,7.55207625175348e-05,0.10627725030806,4.11404012412985e-28,Iron,ACCESS-ESM1-5,Winter
23.9320297241211,0.913848337641285,0.0,0.851530038372022,0.0,NPP,ACCESS-ESM1-5,Summer
59.1864051818848,0.48574109798576,2.4502091524767396e-280,0.397760275634467,0.0,NPP,ACCESS-ESM1-5,Winter
-2.8343915939331,-0.145343506542198,6.94608904088985e-24,-0.334398194752519,3.54429373779431e-262,MLD,ACCESS-ESM1-5,Summer
-17.2015991210937,-0.015152311281837,0.29598819881528,-0.353101914688221,4.45825963929969e-292,MLD,ACCESS-ESM1-5,Winter
-4.98028373718262,-0.1254914150652,3.65055666314781e-18,-0.415281662968078,0.0,Nitrate,ACCESS-ESM1-5,Summer
-3.66262006759644,-0.16574475194612,1.1655623923355298e-30,-0.411459148971162,0.0,Nitrate,ACCESS-ESM1-5,Winter
0.289669454097748,0.13158968380619,7.86294202589282e-20,0.626445624895499,0.0,PAR,ACCESS-ESM1-5,Summer
40.5426635742188,0.046131822459032,0.00145613776182,-0.094935451609088,9.22117215688806e-23,PAR,ACCESS-ESM1-5,Winter
-83.9344635009766,0.210444783333553,8.853260487294689e-49,0.412235688628048,0.0,Sea ice cover,ACCESS-ESM1-5,Summer
-76.3078308105469,0.141303844291068,1.18840600139746e-22,0.455725379469864,0.0,Sea ice cover,ACCESS-ESM1-5,Winter
0.57106363773346,-0.138718372006307,7.008729105260069e-22,0.280058565614117,1.60277487137764e-184,SST,ACCESS-ESM1-5,Summer
0.298686623573303,-0.103842283596243,6.91266915716974e-13,-0.435681674079523,0.0,SST,ACCESS-ESM1-5,Winter
7.41173553466797,-0.360676235010932,2.17639719491073e-138,-0.268821549207042,4.35636183764177e-161,Iron,CMCC-ESM2,Summer
11.1953802108765,0.767070833191951,0.0,0.559551157544239,0.0,Iron,CMCC-ESM2,Winter
-2.2791531085968,0.166741333841898,1.98337725602308e-29,0.048216838333275,1.22891270609122e-06,NPP,CMCC-ESM2,Summer
-11.1869354248047,-0.018098265210004,0.224709252267236,-0.11632411811147,1.2311265218260402e-31,NPP,CMCC-ESM2,Winter
-3.36848378181458,0.146190308183885,6.2540363489239e-23,0.032011544697457,0.001279389125959,Diatom,CMCC-ESM2,Summer
-4.8989372253418,0.005822102512769,0.696137214500336,-0.072820680255565,2.36735324354747e-13,Diatom,CMCC-ESM2,Winter
1.07054722309113,0.709687525747994,0.0,0.504644162692115,0.0,MLD,CMCC-ESM2,Summer
-7.33101463317871,-0.126063203756098,2.06643265265748e-17,-0.121605140118426,2.03994605003285e-34,MLD,CMCC-ESM2,Winter
-8.59879970550537,0.165539185288583,5.03394146938413e-29,0.047099163806927,2.15334694035825e-06,Nitrate,CMCC-ESM2,Summer
-4.88258361816406,0.002938241637552,0.843754967567014,-0.029699012539886,0.002808940705613,Nitrate,CMCC-ESM2,Winter
-3.42404651641846,0.403987961236606,2.2901922816430898e-176,0.398952264026228,0.0,PAR,CMCC-ESM2,Summer
22.3199367523193,-0.091896426651104,6.51939818291094e-10,-0.036831836866105,0.000210961515929,PAR,CMCC-ESM2,Winter
-89.8568572998047,-0.067179372618193,6.44086063732037e-06,0.166437621026402,3.12198051646315e-62,Sea ice cover,CMCC-ESM2,Summer
-77.8611450195313,0.366309052496862,8.20021067306103e-141,0.265253081474602,1.86932376836734e-149,Sea ice cover,CMCC-ESM2,Winter
0.484493970870972,0.426725403214053,1.0632616074325e-198,0.05297060695629,9.86586806453336e-08,SST,CMCC-ESM2,Summer
0.299231797456741,-0.419752710827233,1.14799663915155e-191,-0.296488633130025,1.66627253424705e-195,SST,CMCC-ESM2,Winter
2.70107412338257,0.706168974640629,0.0,0.500016429724932,0.0,NPP,EC-Earth3-CC,Summer
91.0388488769531,-0.180380242791295,2.1452945408947002e-26,-0.154314479995783,1.07281227289894e-41,NPP,EC-Earth3-CC,Winter
-4.22495651245117,0.876605676450876,0.0,0.697897979100877,0.0,Diatom,EC-Earth3-CC,Summer
69.1218566894531,-0.177414285932368,1.41906048643277e-25,-0.14898234968342,5.55083823665899e-39,Diatom,EC-Earth3-CC,Winter
-1.46944940090179,0.21923933647912,1.74404764713595e-38,0.141953507985873,1.50519038770674e-35,MLD,EC-Earth3-CC,Summer
-16.5645980834961,-0.076068118342,8.47981008936163e-06,0.019360377116953,0.089659495274364,MLD,EC-Earth3-CC,Winter
-4.03098487854004,-0.135341248146931,1.90467564862976e-15,-0.073237552600791,1.3604772657973e-10,Nitrate,EC-Earth3-CC,Summer
-2.71622943878174,-0.026323870780282,0.12382411795917,-0.071574220219089,3.50896173528019e-10,Nitrate,EC-Earth3-CC,Winter
-4.20540809631348,0.681330170159304,0.0,0.400691896791206,2.70177233434914e-270,PAR,EC-Earth3-CC,Summer
41.6582260131836,-0.259261396047938,1.23091343671767e-53,-0.223362795024805,2.25701857699915e-85,PAR,EC-Earth3-CC,Winter
0.64054811000824,0.580970654237206,6.863854249249155e-308,0.321756310212375,4.9008711547055397e-175,SST,EC-Earth3-CC,Summer
0.419281601905823,0.059887837726721,0.000458947538731,-0.030819941751486,0.006896920323915,SST,EC-Earth3-CC,Winter
-17.8064651489258,0.281968886270537,8.991134906559049e-100,0.341329221386625,0.0,Iron,IPSL-CM6A-LR,Summer
-15.3153839111328,-0.067013759541254,7.72817569333379e-07,-0.073960811040739,3.0405636845853e-16,Iron,IPSL-CM6A-LR,Winter
-0.701813519001007,0.967048715610076,0.0,0.704856711065896,0.0,NPP,IPSL-CM6A-LR,Summer
49.1834945678711,-0.111675837577168,1.55244704957864e-16,-0.101491468632465,3.5012695186721e-29,NPP,IPSL-CM6A-LR,Winter
-13.0926532745361,0.968830774121077,0.0,0.8083509082531,0.0,Diatom,IPSL-CM6A-LR,Summer
35.1960868835449,-0.120367187687601,5.62536396596875e-19,-0.098747460263305,1.02905882974131e-27,Diatom,IPSL-CM6A-LR,Winter
-5.55303287506104,-0.639551386770257,0.0,-0.588326090653161,0.0,MLD,IPSL-CM6A-LR,Summer
-13.7994709014893,-0.441337238400589,1.2324391836783401e-257,-0.326881438737938,1.2656156635352399e-285,MLD,IPSL-CM6A-LR,Winter
-3.61366415023804,-0.62163121293182,0.0,-0.569696325971318,0.0,Nitrate,IPSL-CM6A-LR,Summer
-6.63100147247314,-0.55570668577789,0.0,-0.405926428959687,0.0,Nitrate,IPSL-CM6A-LR,Winter
-0.155300632119179,0.850575705783847,0.0,0.452802567342431,0.0,PAR,IPSL-CM6A-LR,Summer
18.5949897766113,-0.171380288724555,4.64358386577251e-37,-0.129060397359821,3.9128085008681404e-46,PAR,IPSL-CM6A-LR,Winter
-87.3641815185547,0.389970000668551,6.62211121122975e-189,0.410568084546058,0.0,Sea ice cover,IPSL-CM6A-LR,Summer
-68.5374755859375,0.536636557954436,0.0,0.429702946766782,0.0,Sea ice cover,IPSL-CM6A-LR,Winter
0.865203499794006,-0.035869931493644,0.008212624108765,0.006557283812969,0.468762225062877,SST,IPSL-CM6A-LR,Summer
0.312999606132507,-0.453747948054235,5.10273611986756e-274,-0.437987938757605,0.0,SST,IPSL-CM6A-LR,Winter
-0.875959098339081,-0.67406643436327,0.0,-0.472374812195451,0.0,Iron,MPI-ESM1-2-HR,Summer
-0.47258847951889,0.027877460479897,0.052609712090988,-0.012003397378533,0.210793451599015,Iron,MPI-ESM1-2-HR,Winter
-3.57142734527588,0.681631429856707,0.0,0.442904269832637,0.0,NPP,MPI-ESM1-2-HR,Summer
33.0383415222168,0.256939681302065,9.69603045576636e-74,0.247720139081416,4.58725987539281e-147,NPP,MPI-ESM1-2-HR,Winter
1.30455434322357,0.611169631018737,0.0,0.391200527644067,0.0,MLD,MPI-ESM1-2-HR,Summer
-18.8587894439697,0.183053076186425,1.07961426283211e-37,0.064926689397754,1.29870219821838e-11,MLD,MPI-ESM1-2-HR,Winter
2.7568519115448,-0.686264245562598,0.0,-0.471779847200152,0.0,Nitrate,MPI-ESM1-2-HR,Summer
0.799703598022461,0.006825738073791,0.635174954125525,-0.038572222693772,5.78880331323469e-05,Nitrate,MPI-ESM1-2-HR,Winter
-7.36786937713623,0.727921558550167,0.0,0.540845438409806,0.0,PAR,MPI-ESM1-2-HR,Summer
27.0338497161865,0.13995965552537,1.4188443379123699e-22,0.162725066376051,1.50302082638613e-64,PAR,MPI-ESM1-2-HR,Winter
0.350692927837372,0.594887204007057,0.0,0.362945114645698,0.0,SST,MPI-ESM1-2-HR,Summer
0.169867143034935,-0.095135077761001,3.4077179835419396e-11,-0.02455916346946,0.010456514490774,SST,MPI-ESM1-2-HR,Winter
-82.71925354003906,-0.0229350018204104,0.1710298654861303,0.0839247504308892,1.729301632897687e-13,Sea ice cover,MPI-ESM1-2-HR,Summer
-67.49993896484375,-0.0069003458256519,0.6355001403833089,0.0922491098685016,7.009389067757306e-21,Sea ice cover,MPI-ESM1-2-HR,Winter
-100.0,-0.0041780988376584,0.8271454447735032,0.2579434458642076,1.0277014590578367e-76,Sea ice cover,EC-Earth3-CC,Summer
-95.51498413085938,-0.0749768892971894,1.1406199667061832e-05,-0.0860248129327721,1.0795826247697577e-13,Sea ice cover,EC-Earth3-CC,Winter
