Correlation_npp,p-value_npp,Variable,Model,Season,Correlation_npp_k,p-value_npp_k
0.7951758053429785,0.0,Diatom,EC-Earth3-CC,Summer,0.5637440538005197,0.0
0.9905606482463168,0.0,Diatom,EC-Earth3-CC,Winter,0.8410375324532493,0.0
-0.0612630829527109,0.0003373754312169,MLD,EC-Earth3-CC,Summer,0.1153966475936746,4.6185924285321366e-24
0.3100048392784109,4.464252454238009e-77,MLD,EC-Earth3-CC,Winter,0.1417972999681095,1.7464205880057944e-35
-0.2082702921819175,7.944509287331331e-35,Nitrate,EC-Earth3-CC,Summer,0.1269683828938643,8.753820093886013e-29
0.2223203687878569,1.4565226553294406e-39,Nitrate,EC-Earth3-CC,Winter,-0.0036086630833749,0.7517034859430385
0.7195843441449271,0.0,PAR,EC-Earth3-CC,Summer,0.2546070828516338,2.2099761595818085e-110
0.9681938064652368,0.0,PAR,EC-Earth3-CC,Winter,0.8009433699245376,0.0
-0.0377079795345313,0.0486298829101934,Sea ice cover,EC-Earth3-CC,Summer,0.0997756751766323,7.413891776825999e-13
0.005145266061375,0.7635737933465603,Sea ice cover,EC-Earth3-CC,Winter,0.2839021642516321,7.591256842503046e-133
-0.6670303389538125,0.0,Iron,MPI-ESM1-2-HR,Summer,-0.4980049698319496,0.0
-0.0898392168511951,2.86951994932422e-10,Iron,MPI-ESM1-2-HR,Winter,-0.0971712134915123,1.8127167694315683e-24
0.3566161371046319,3.702305751654048e-147,MLD,MPI-ESM1-2-HR,Summer,0.1880481642875197,7.1037098677966475e-87
-0.1382861799503977,2.1753613048754176e-22,MLD,MPI-ESM1-2-HR,Winter,-0.2457774068135756,5.138095391894733e-147
-0.7059087253970847,0.0,Nitrate,MPI-ESM1-2-HR,Summer,-0.5191435652214696,0.0
-0.141188519227308,2.8002063877314854e-23,Nitrate,MPI-ESM1-2-HR,Winter,-0.1543145686966995,4.140207833548008e-59
0.7601307410332637,0.0,PAR,MPI-ESM1-2-HR,Summer,0.5265396248013458,0.0
0.9400184969450214,0.0,PAR,MPI-ESM1-2-HR,Winter,0.747690422717951,0.0
0.255449282235707,2.6217489781508174e-55,Sea ice cover,MPI-ESM1-2-HR,Summer,0.2743464004568882,5.84751869470557e-131
0.1139729353139065,2.7844931752770087e-15,Iron,ACCESS-ESM1-5,Summer,0.062245879780124,1.1168422404294655e-10
0.0219838754967079,0.128747159822239,Iron,ACCESS-ESM1-5,Winter,0.0194332921150253,0.0440332859109145
-0.3015429811255873,5.7034328500143756e-101,MLD,ACCESS-ESM1-5,Summer,-0.3582029851790801,1.3996155993621536e-301
-0.1809137744774272,2.018279683496029e-36,MLD,ACCESS-ESM1-5,Winter,-0.3173670410239262,3.3563838406427225e-237
-0.2297795198338753,2.9334221010483764e-58,Nitrate,ACCESS-ESM1-5,Summer,-0.3668098228322961,0.0
-0.3425894252956477,1.2694824179576427e-131,Nitrate,ACCESS-ESM1-5,Winter,-0.3144562252799776,6.579990525037506e-233
0.2940746678762055,6.717118150216789e-96,PAR,ACCESS-ESM1-5,Summer,0.7138898117941289,0.0
0.4080741326084704,4.192594337056109e-191,PAR,ACCESS-ESM1-5,Winter,0.4356127934611978,0.0
0.3404564641800159,6.548105417713567e-130,Sea ice cover,ACCESS-ESM1-5,Summer,0.418735241864315,0.0
0.3565684932682677,3.492716403015292e-143,Sea ice cover,ACCESS-ESM1-5,Winter,0.4020196590976019,0.0
-0.0330810905664903,0.0264270543084328,Iron,CMCC-ESM2,Summer,0.0901263020960506,1.2090792237982998e-19
-0.0210586184502498,0.1576880308505208,Iron,CMCC-ESM2,Winter,-0.0987286919535256,2.96628194685142e-23
0.9935210351138908,0.0,Diatom,CMCC-ESM2,Summer,0.9125159958023936,0.0
-0.0012754964227308,0.9318100894140732,Diatom,CMCC-ESM2,Winter,0.7417469749423184,0.0
-0.0657858299206971,9.958214393588776e-06,MLD,CMCC-ESM2,Summer,-0.13580018178315,1.6686612125401388e-42
0.0119564950756382,0.4224723760033944,MLD,CMCC-ESM2,Winter,-0.0033226281940673,0.7381422420801365
-0.1900188985070548,7.089552433256143e-38,Nitrate,CMCC-ESM2,Summer,-0.3329606117763635,4.558563507556943e-246
-0.0026802293914432,0.8573052215198272,Nitrate,CMCC-ESM2,Winter,-0.0868734235422103,2.31084948530071e-18
0.8930173593412419,0.0,PAR,CMCC-ESM2,Summer,0.1876747748896954,1.5630365929574058e-79
0.0025098837884419,0.8662861269233308,PAR,CMCC-ESM2,Winter,-0.150297254813983,1.1503205665741468e-51
0.2698109939273448,5.873792932060978e-76,Sea ice cover,CMCC-ESM2,Summer,0.4092122457333734,0.0
-0.0104971058542114,0.484722251354314,Sea ice cover,CMCC-ESM2,Winter,-0.1123383407285661,2.784287789095471e-28
0.3142385686443245,9.81929922479953e-125,Iron,IPSL-CM6A-LR,Summer,0.3800615913505076,0.0
-0.4101339289398343,2.1809274842665987e-219,Iron,IPSL-CM6A-LR,Winter,-0.2131317656634384,1.2419446981880652e-122
0.9746209061721876,0.0,Diatom,IPSL-CM6A-LR,Summer,0.7373194259786712,0.0
0.9926587534035816,0.0,Diatom,IPSL-CM6A-LR,Winter,0.877822706607648,0.0
-0.6912981024499534,0.0,MLD,IPSL-CM6A-LR,Summer,-0.6318804596908872,0.0
0.0522891601516438,0.0001157949549995,MLD,IPSL-CM6A-LR,Winter,0.1890700719029404,6.370317435261076e-97
-0.6533526866560349,0.0,Nitrate,IPSL-CM6A-LR,Summer,-0.5513984921842541,0.0
0.1466371450046621,1.7535961162215572e-27,Nitrate,IPSL-CM6A-LR,Winter,0.172168197229373,1.077268134069384e-80
0.8645256985547451,0.0,PAR,IPSL-CM6A-LR,Summer,0.317634676125726,7.299891372413263e-270
0.9639754246472172,0.0,PAR,IPSL-CM6A-LR,Winter,0.8492147228055008,0.0
0.3885389404543453,1.8729496653643082e-187,Sea ice cover,IPSL-CM6A-LR,Summer,0.3132060397208446,2.0295616393172574e-241
-0.2789768417526753,1.223436976825701e-97,Sea ice cover,IPSL-CM6A-LR,Winter,-0.1309365723469205,8.96145593809717e-47
-0.0085219503547181,0.5551713258062914,Sea ice cover,MPI-ESM1-2-HR,Winter,0.2959487869876209,5.900363561456359e-202
