Percentage,Correlation,p-value,Kendall,p_value_k,Variable,Model,Export,Correlation_ice,p-value_ice,Correlation_ice_k,p-value_ice_k
-2.4684267044067383,0.0786579454146386,5.533611149941689e-08,0.0879163401907193,9.538572453579712e-20,Iron,ACCESS-ESM1-5,98.8232822021433,0.2155938613619157,2.434827975416732e-51,0.1994959811416189,9.957072160603424e-95
27.23697090148925,0.9622478455858804,0.0,0.920251229932218,0.0,NPP,ACCESS-ESM1-5,98.8232822021433,0.2691135900699801,4.974366654738832e-80,0.4431918956917546,0.0
-15.450725555419922,-0.0026000711548608,0.8576861177530731,-0.2547900877795228,4.4339803966002826e-153,MLD,ACCESS-ESM1-5,98.8232822021433,-0.3502713727693859,6.664736575624578e-138,-0.3003965376569072,3.0076433434397877e-212
-4.081036567687988,-0.2023793228315791,3.6010460110205164e-45,-0.3772557921163599,0.0,Nitrate,ACCESS-ESM1-5,98.8232822021433,-0.5423359428439152,0.0,-0.3607290541006864,4.0234573173597054e-305
10.126846313476562,0.232803399734304,1.3682121669362625e-59,0.6991336650661807,0.0,PAR,ACCESS-ESM1-5,98.8232822021433,0.4945773333039048,3.691360835569077e-293,0.4290815341687747,0.0
-60.33794021606445,0.1947368728479299,6.865782166973751e-42,0.4717748965161475,0.0,Sea ice cover,ACCESS-ESM1-5,98.8232822021433,,,,
-9.82131576538086,-0.2175680363551353,4.287633352088832e-52,-0.1809379463374654,3.648883642616435e-78,SST,ACCESS-ESM1-5,98.8232822021433,-0.7844866819975583,0.0,-0.5970162781553349,0.0
9.4312105178833,0.4805528843673534,6.532723721072782e-259,0.279009521651292,2.269805386484603e-173,Iron,CMCC-ESM2,75.01110617503332,0.0400792783979023,0.0071488483231898,-0.0115586064651518,0.2473142376417351
16.154680252075195,0.4357908066719566,4.276359320739966e-208,0.6166661920859587,0.0,NPP,CMCC-ESM2,75.01110617503332,0.0966458282865428,8.097566934303666e-11,0.2387777462129985,3.1224934044703006e-126
16.627368927001953,0.4684080476413882,2.2958202828517573e-244,0.6444620480704668,0.0,Diatom,CMCC-ESM2,75.01110617503332,0.1236725109167919,8.17658016079967e-17,0.2689606903907966,1.274442683097525e-159
-8.443768501281738,0.1466012120673231,4.729617626987401e-23,0.0552438566640652,2.7307022434796694e-08,MLD,CMCC-ESM2,75.01110617503332,-0.4542424794175531,3.5450142329648475e-228,-0.3066863337258004,6.407585608684565e-207
-6.458160877227783,0.1546310376662497,1.712363391800156e-25,0.0597567024572901,1.833603338357928e-09,Nitrate,CMCC-ESM2,75.01110617503332,-0.3567093963845057,3.19397003658515e-135,-0.2664407185247445,1.1076791627048867e-156
4.463072299957275,0.3613258221476475,6.456965208241759e-139,0.3546769951215737,7.322223141189967e-279,PAR,CMCC-ESM2,75.01110617503332,0.0815614652887548,4.235364514748581e-08,0.2021458080603411,5.044815433684892e-91
-64.69642639160156,0.2192365507636041,3.9742605421965576e-50,0.2613062020347723,9.576301905499457e-151,Sea ice cover,CMCC-ESM2,75.01110617503332,,,,
-50.56378173828125,-0.2472340031342647,1.1183974534966586e-63,-0.231834852633074,2.52812871144002e-120,SST,CMCC-ESM2,75.01110617503332,-0.8842151094932986,0.0,-0.7453901895079985,0.0
12.727083206176758,0.932626695396752,0.0,0.7115789171031383,0.0,NPP,EC-Earth3-CC,67.73910500146242,0.1376410869924293,6.220462923222663e-16,0.2279361293428137,2.338984392147076e-87
7.00269889831543,0.945449874020372,0.0,0.7390435983288232,0.0,Diatom,EC-Earth3-CC,67.73910500146242,0.0316027470323698,0.0646111916988256,0.117251494929302,2.1647050425774113e-24
-14.979737281799316,0.3657645242465213,1.01320180139984e-108,0.2652674930361926,1.2883792025459112e-119,MLD,EC-Earth3-CC,67.73910500146242,-0.2644435762669282,8.015218673488679e-56,-0.1461161019912367,5.884951462404085e-37
-3.552132129669189,0.1628999018227757,9.180676276407866e-22,0.0837416234074291,2.1188345937741745e-13,Nitrate,EC-Earth3-CC,67.73910500146242,-0.5637546861506962,3.2935928282517886e-286,-0.3800261254930162,2.842946653553639e-239
5.679640769958496,0.7310095384420715,0.0,0.4524920812148686,0.0,PAR,EC-Earth3-CC,67.73910500146242,0.3979656643789022,3.636984110486426e-130,0.4228368451395006,1.0464236805109752e-295
-89.41948699951172,0.1474182586486306,4.551108826118141e-18,0.1927783632054212,5.320125750850138e-63,Sea ice cover,EC-Earth3-CC,67.73910500146242,,,,
66.31356811523438,0.2159835012683424,2.247278777733222e-37,0.0945563267923915,1.1408074363599102e-16,SST,EC-Earth3-CC,67.73910500146242,-0.3922012610346913,3.7415730695258304e-126,-0.2634908085608355,4.382409741407409e-116
-16.746124267578125,0.1482122193600839,4.838101468476847e-28,0.2565668019722412,9.038662698660655e-177,Iron,IPSL-CM6A-LR,52.311659605820594,0.3514175622248103,1.332304469824645e-157,0.2044908885379129,4.0933843356703883e-112
10.6771879196167,0.9724162390403362,0.0,0.6039936195149509,0.0,NPP,IPSL-CM6A-LR,52.311659605820594,0.2834765263542586,6.940303393454385e-101,0.1791115504342769,1.838556558707296e-86
-2.0686583518981934,0.9801055282449616,0.0,0.6953055293930613,0.0,Diatom,IPSL-CM6A-LR,52.311659605820594,0.343492774645571,3.2871193334135866e-150,0.3038290877429691,4.856111880029944e-245
-13.352075576782228,-0.2198862353085172,1.9451551263125056e-60,-0.1548439040516541,1.288428042652989e-65,MLD,IPSL-CM6A-LR,52.311659605820594,-0.5966058961329108,0.0,-0.3958605830726611,0.0
-5.896163940429688,-0.5477979609248892,0.0,-0.350021806258621,0.0,Nitrate,IPSL-CM6A-LR,52.311659605820594,-0.6211022506694167,0.0,-0.4255497467102574,0.0
12.260889053344728,0.7380488335874051,0.0,0.298913562453548,3.4334991841995083e-239,PAR,IPSL-CM6A-LR,52.311659605820594,0.398022534549003,1.3818321960588754e-205,0.320273170334487,4.8112760832775896e-272
-55.470252990722656,0.3197643002484811,2.614283425545528e-129,0.2648409130641874,1.1738339652215405e-186,Sea ice cover,IPSL-CM6A-LR,52.311659605820594,,,,
-55.28810119628906,-0.2929363672180181,6.874934674214554e-108,-0.2106473652213942,8.170853421404308e-120,SST,IPSL-CM6A-LR,52.311659605820594,-0.8658719390499195,0.0,-0.7104345263918012,0.0
-1.5813790559768677,-0.67510537451502,0.0,-0.5276769369181773,0.0,Iron,MPI-ESM1-2-HR,66.42532064542822,-0.4372319115183772,1.4822740826883549e-227,-0.2763778018780649,6.0223204943262924e-182
4.3747878074646,0.9188353924684616,0.0,0.7615380196773366,0.0,NPP,MPI-ESM1-2-HR,66.42532064542822,0.2194236735724421,2.1312869961352416e-54,0.0961908607579806,1.3620517178557048e-23
-18.06228256225586,0.0098327415903793,0.4943032751518132,-0.0672279626356852,2.405479471750595e-12,MLD,MPI-ESM1-2-HR,66.42532064542822,-0.6290628799356609,0.0,-0.4845805669661944,0.0
0.0811335295438766,-0.6523030302720886,0.0,-0.5164082143007456,0.0,Nitrate,MPI-ESM1-2-HR,66.42532064542822,-0.4455190631447286,3.2895035603476677e-237,-0.2732725716956962,6.297463327705742e-178
-1.1275559663772583,0.7959495583969317,0.0,0.557049374261622,0.0,PAR,MPI-ESM1-2-HR,66.42532064542822,0.3260697473352501,1.6067460988328707e-121,0.2231300043870527,2.705777623684095e-119
-53.11725234985352,0.1862668391490791,7.503735029572809e-39,0.078122432486375,7.25061144949783e-16,Sea ice cover,MPI-ESM1-2-HR,66.42532064542822,,,,
-27.207460403442383,0.1735618168160649,5.2995637703387235e-34,0.1580868423003558,5.0264572103486356e-61,SST,MPI-ESM1-2-HR,66.42532064542822,-0.7650580600529665,0.0,-0.5990609098434448,0.0
5.545315742492676,,,,,Export,EC-Earth3-CC,,0.1474182907537977,4.551038089624852e-18,0.1927783632054212,5.320125750850138e-63
4.768065452575684,,,,,Export,MPI-ESM1-2-HR,,0.1862668137102231,7.50394395175657e-39,0.0781220843832596,7.252745212630377e-16
24.96250915527344,,,,,Export,ACCESS-ESM1-5,,0.1947368926052193,6.865782166973751e-42,0.4717748289174294,0.0
11.107160568237305,,,,,Export,CMCC-ESM2,,0.2192365866497695,3.9741372578876593e-50,0.2613065127813477,9.568828660020508e-151
0.5172841548919678,,,,,Export,IPSL-CM6A-LR,,0.3197642704549931,2.6144342767749408e-129,0.2648403675772874,1.1758909233153186e-186
